prenom;nom;password;fonction;formation;niveau
paul;lehaut;Azerty!;eleve;fc;BTS
anne;lepetit;Azerty!;eleve;fc;BTS
eva;lehaut;Azerty!;eleve;fc;MASTER
eric;lefort;Azerty!;eleve;fi;BTS
thibaut;legrop;Azerty!;eleve;fi;MASTER
pierre;lefute;Azerty!;eleve;fc;BACHELOR
sarra;lerapide;Azerty!;eleve;fc;BTS
remy;lelent;Azerty!;eleve;fc;MASTER
anne;lenain;Azerty!;eleve;fc;BTS
line;lemarchand;Azerty!;eleve;fc;BTS
paul;lehaut;Azerty!;eleve;fi;BACHELOR
fred;latoile;Azerty!;eleve;fc;BACHELOR
isabelle;leruse;Azerty!;eleve;fi;BACHELOR
ines;leraide;Azerty!;eleve;fi;BACHELOR
john;lerapide;Azerty!;eleve;fi;MASTER
georges;lehaut;Azerty!;eleve;fc;MASTER
etienne;leradin;Azerty!;eleve;fi;MASTER
lisa;lelent;Azerty!;eleve;fi;MASTER
anne;lecoin;Azerty!;formateur;informatique;
jack;lesec;Azerty!;formateur;informatique;
andres;lemou;Azerty!;formateur;informatique;
fred;latoile;Azerty!;formateur;web;
